"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom"
"288","Uruguay",2014,1,"Gonzalo Abella",NA,NA,NA,NA,NA
"289","Uruguay",2014,1,"Rafael Fernandez",NA,NA,NA,NA,NA
"290","Uruguay",2019,1,"Luis Alberto Lacalle Pou","PN",1.269,"VDEM",1.8,"VDEM"
"291","Uruguay",2019,1,"Daniel Martinez","FA/EP",-1.077,"VDEM",1.152,"VDEM"
"292","Uruguay",2019,2,"Luis Alberto Lacalle Pou","PN",1.269,"VDEM",1.8,"VDEM"
"293","Uruguay",2019,2,"Daniel Martinez","FA/EP",-1.077,"VDEM",1.152,"VDEM"
"294","Nicaragua",2006,1,"Eduardo Montealegre","ALN",2.025,"VDEM",-0.685,"VDEM"
"295","Nicaragua",2006,1,"Edmundo Jarquin","MRS",-0.863,"VDEM",-2.365,"VDEM"
"296","Nicaragua",2006,1,"Jose Rizo","PLC",2.008,"VDEM",0.141,"VDEM"
"297","Nicaragua",2006,1,"Eden Pastora",NA,NA,NA,NA,NA
"298","Panama",1994,1,"Jose Salvador Munoz","PPA",2.164,"VDEM",2.352,"VDEM"
"299","Panama",1994,1,"Samuel Lewis Galindo","PS",0.766,"VDEM",-0.028,"VDEM"
"300","Panama",1994,1,"Ernesto Perez Balladares","PRD",-0.871,"VDEM",2.36,"VDEM"
"301","Panama",1994,1,"Ruben Blades","MPE",-0.457,"VDEM",-0.171,"VDEM"
"302","Panama",1994,1,"Eduardo Vallarino Arjona","PP-PDC",0.565,"VDEM",1.037,"VDEM"
"303","Panama",1994,1,"Ruben Dario Carles","MOLIRENA",1.414,"VDEM",2.002,"VDEM"
"304","Panama",2004,1,"Guillermo Endara","PS",0.775,"VDEM",0.234,"VDEM"
"305","Panama",2004,1,"Jose Miguel Aleman",NA,NA,NA,NA,NA
"306","Panama",2004,1,"Ricardo Martinelli","CD",1.157,"VDEM",1.135,"VDEM"
"307","Panama",2004,1,"Martin Torrijos","PRD",-0.871,"VDEM",2.864,"VDEM"
"308","Panama",2009,1,"Ricardo Martinelli",NA,NA,NA,NA,NA
"309","Panama",2009,1,"Balbina Herrera","PRD",-0.871,"VDEM",2.372,"VDEM"
"310","Panama",2014,1,"Juan Carlos Navarro","PRD",-0.871,"VDEM",1.976,"VDEM"
"311","Panama",2014,1,"Juan Carlos Varela","PPA",2.164,"VDEM",2.821,"VDEM"
"312","Panama",2014,1,"Genaro Lopez",NA,NA,NA,NA,NA
"313","Panama",2014,1,"Jose Domingo Arias","MOLIRENA",1.408,"VDEM",1.666,"VDEM"
"314","Panama",2014,1,"Juan Jovane",NA,NA,NA,NA,NA
"315","Panama",2014,1,"Gerardo Barroso",NA,NA,NA,NA,NA
"316","Panama",2014,1,"Esteban Rodriguez",NA,NA,NA,NA,NA
"317","Panama",2019,1,"Ana Matilde Gomez",NA,NA,NA,NA,NA
"318","Panama",2019,1,"Ricardo Lombana",NA,NA,NA,NA,NA
"319","Panama",2019,1,"Marco Ameglio",NA,NA,NA,NA,NA
"320","Panama",2019,1,"Jose Isabel Blandon","PPA",2.165,"VDEM",1.992,"VDEM"
"321","Panama",2019,1,"Saul Mendez",NA,NA,NA,NA,NA
"322","Panama",2019,1,"Romulo Roux",NA,NA,NA,NA,NA
"323","Panama",2019,1,"Laurentino Cortizo","PRD",-0.491,"VDEM",2.341,"VDEM"
"324","Venezuela",1963,1,"Rafael Caldera","COPEI",NA,"VDEM",NA,"VDEM"
"325","Venezuela",1963,1,"Arturo Uslar Pietri","IPFN",NA,"VDEM",NA,"VDEM"
"326","Venezuela",1968,1,"Gonzalo Barrios","AD",NA,"VDEM",NA,"VDEM"
"327","Venezuela",1968,1,"German Borregales",NA,NA,NA,NA,NA
"328","Venezuela",1968,1,"Luis Beltran Prieto","MEP",NA,"VDEM",NA,"VDEM"
"329","Venezuela",1968,1,"Rafael Caldera","COPEI",NA,"VDEM",NA,"VDEM"
"330","Venezuela",1968,1,"Alejandro Hernandez",NA,NA,NA,NA,NA
"331","Venezuela",1983,1,"Jaime Lusinchi","AD",-0.62,"VDEM",2.346,"VDEM"
"332","Venezuela",1983,1,"Rafael Caldera","COPEI",0.5,"VDEM",2.172,"VDEM"
"333","Venezuela",1998,1,"Claudio Fermin",NA,NA,NA,NA,NA
"334","Venezuela",1998,1,"Hugo Chavez","MVR",-2.395,"VDEM",1.487,"VDEM"
"335","Bolivia",1989,1,"Carlos Palenque","CONDEPA",-1.013,"VDEM",-0.982,"VDEM"
"336","Bolivia",1989,1,"Genaro Flores",NA,NA,NA,NA,NA
"337","Bolivia",1989,1,"Luis Sandoval Moron",NA,NA,NA,NA,NA
"338","Bolivia",1989,1,"Antonio Aranibar","IU",-2.426,"VDEM",-1.784,"VDEM"
"339","Bolivia",1989,1,"Roger Cortez",NA,NA,NA,NA,NA
"340","Bolivia",1989,1,"Victor Hugo Cardena",NA,NA,NA,NA,NA
"341","Bolivia",1989,1,"Gonzalo Sanchez de Lozada","MNR",1.825,"VDEM",1.246,"VDEM"
"342","Bolivia",1989,1,"Jaime Paz Zamora","MIR",-0.94,"VDEM",-0.017,"VDEM"
"343","Bolivia",1989,1,"Hugo Banzer","ADN",1.977,"VDEM",0.379,"VDEM"
"344","Bolivia",1993,1,"Felix Cardenas",NA,NA,NA,NA,NA
"345","Bolivia",1993,1,"Jerjes Justiniano",NA,NA,NA,NA,NA
"346","Bolivia",1993,1,"Mario Serrate",NA,NA,NA,NA,NA
"347","Bolivia",1993,1,"Fernando Untoja",NA,NA,NA,NA,NA
"348","Bolivia",1993,1,"Antonio Aranibar","MBL",-1.585,"VDEM",-2.493,"VDEM"
"349","Bolivia",1993,1,"Ramiro Velasco","IU",-2.426,"Proyectado. Ultimo valor disponible V-DEM",-1.784,"Proyectado. Ultimo valor disponible V-DEM"
"350","Bolivia",1993,1,"Gonzalo Sanchez de Lozada","MNR",1.056,"VDEM",1.246,"VDEM"
"351","Bolivia",1993,1,"Hugo Banzer","AP",0.776,"VDEM",0.214,"VDEM"
"352","Bolivia",1993,1,"Max Fernandez","UCS",0.047,"VDEM",-0.794,"VDEM"
"353","Bolivia",1997,1,"Juan Carlos Duran","MNR",1.406,"VDEM",0.936,"VDEM"
"354","Bolivia",1997,1,"Miguel Urioste",NA,NA,NA,NA,NA
"355","Bolivia",1997,1,"Remedios Loza","CONDEPA",-0.644,"VDEM",-1.011,"VDEM"
"356","Bolivia",1997,1,"Jaime Paz Zamora","MIR",-0.544,"VDEM",-0.017,"VDEM"
"357","Bolivia",1997,1,"Ivo Kuljis","UCS",0.047,"VDEM",-0.794,"VDEM"
"358","Bolivia",2002,1,"Gonzalo Sanchez de Lozada","MNR",1.406,"VDEM",0.936,"VDEM"
"359","Bolivia",2002,1,"Manfred Reyes Villa","NFR",1.749,"VDEM",-0.753,"VDEM"
"360","Bolivia",2002,1,"Evo Morales","MAS",-2.343,"VDEM",1.06,"VDEM"
"361","Bolivia",2002,1,"Felipe Quispe",NA,NA,NA,NA,NA
"362","Bolivia",2002,1,"Jaime Paz Zamora","MIR",-0.313,"VDEM",-0.402,"VDEM"
"363","Bolivia",2005,1,"Jorge Quiroga","Podemos",1.405,"VDEM",-1.113,"VDEM"
"364","Bolivia",2005,1,"Samuel Doria Medina","UN",0.279,"VDEM",-1.623,"VDEM"
"365","Bolivia",2005,1,"Michiaki Nagatani","MNR",1.406,"VDEM",-0.361,"VDEM"
"366","Bolivia",2014,1,"Samuel Doria Medina","UN",0.882,"VDEM",-1.325,"VDEM"
"367","Bolivia",2014,1,"Juan del Granado",NA,NA,NA,NA,NA
"368","Bolivia",2014,1,"Jorge Quiroga","PDC",1.287,"VDEM",-1.448,"VDEM"
"369","Bolivia",2014,1,"Fernando Vargas",NA,NA,NA,NA,NA
"370","Bolivia",2020,1,"Luis Arce","MAS",-1.92,"Proyectado. Ultimo valor disponible V-DEM",1.311,"Proyectado. Ultimo valor disponible V-DEM"
"371","Bolivia",2020,1,"Carlos Mesa",NA,NA,NA,NA,NA
"372","Bolivia",2020,1,"Luis Fernando Camacho",NA,NA,NA,NA,NA
"373","Bolivia",2020,1,"Chi Hyun Chung",NA,NA,NA,NA,NA
"374","Bolivia",2020,1,"Jorge Quiroga",NA,NA,NA,NA,NA
"375","Bolivia",2020,1,"Maria de la Cruz Baya","ADN",1.018,"Proyectado. Ultimo valor disponible V-DEM",0.211,"Proyectado. Ultimo valor disponible V-DEM"
"376","Bolivia",2020,1,"Feliciano Mamani",NA,NA,NA,NA,NA
"377","Mexico",1994,1,"Cuauhtemoc Cardenas","PRD",-1.531,"VDEM",0.649,"VDEM"
"378","Mexico",1994,1,"Diego Fernandez de Cevallos","PAN",1.997,"VDEM",0.97,"VDEM"
"379","Mexico",1994,1,"Ernesto Zedillo","PRI",0.825,"VDEM",2.663,"VDEM"
"380","Mexico",2000,1,"Francisco Labastida","PRI",0.753,"VDEM",2.781,"VDEM"
"381","Mexico",2000,1,"Cuauhtemoc Cardenas","Alliance for...",NA,NA,NA,NA
"382","Mexico",2000,1,"Vicente Fox","PAN",2.254,"VDEM",1.65,"VDEM"
"383","Mexico",2000,1,"Gilberto Rincon",NA,NA,NA,NA,NA
"384","Mexico",2000,1,"Porfirio Munoz",NA,NA,NA,NA,NA
"385","Mexico",2000,1,"Manuel Camacho",NA,NA,NA,NA,NA
"386","Mexico",2006,1,"Roberto Campa",NA,NA,NA,NA,NA
"387","Mexico",2006,1,"Patricia Mercado",NA,NA,NA,NA,NA
"388","Mexico",2006,1,"Roberto Madrazo","Alliance for...",NA,"VDEM",NA,"VDEM"
"389","Mexico",2006,1,"Felipe Calderon","PAN",2.012,"VDEM",1.425,"VDEM"
"390","Mexico",2006,1,"Andres Manuel Lopez Obrador","Coalition fo...",NA,"VDEM",NA,"VDEM"
"391","Mexico",2012,1,"Enrique Pena Nieto","PRI",1.016,"VDEM",2.767,"VDEM"
"392","Mexico",2012,1,"Andres Manuel Lopez Obrador","PRD",-1.456,"VDEM",1.261,"VDEM"
"393","Mexico",2012,1,"Josefina Vazquez Mota","PAN",2.013,"VDEM",1.817,"VDEM"
"394","Mexico",2012,1,"Gabriel Quadri",NA,NA,NA,NA,NA
"395","Mexico",2018,1,"Andres Manuel Lopez Obrador","MORENA",-1.698,"VDEM",0.97,"VDEM"
"396","Mexico",2018,1,"Ricardo Anaya Cortes","PAN",1.97,"VDEM",1.72,"VDEM"
"397","Mexico",2018,1,"Margarita Zavala",NA,NA,NA,NA,NA
"398","Mexico",2018,1,"Jose Antonio Meade Kuribrena","PRI",0.949,"VDEM",2.667,"VDEM"
"399","Mexico",2018,1,"Jaime Rodriguez Calderon",NA,NA,NA,NA,NA
"400","Guatemala",1995,2,"Alvaro Arzu","PAN",1.64,"VDEM",-0.892,"VDEM"
"401","Guatemala",1995,2,"Alfonso Portillo","FRG",2.146,"VDEM",-0.191,"VDEM"
"402","Guatemala",2003,1,"Eduardo Suger",NA,NA,NA,NA,NA
"403","Guatemala",2003,1,"Fritz Garcia-Gallont","PU",2.984,"VDEM",-2.646,"VDEM"
"404","Guatemala",2003,1,"Alvaro Colom","UNE",-0.932,"VDEM",-0.264,"VDEM"
"405","Guatemala",2003,1,"Manuel Conde Orellana",NA,NA,NA,NA,NA
"406","Guatemala",2003,1,"Leonel Lopez Rodas","PAN",1.64,"VDEM",-1.982,"VDEM"
"407","Guatemala",2003,2,"Oscar Berger","GANA",1.041,"VDEM",-0.949,"VDEM"
"408","Guatemala",2003,2,"Alvaro Colom","UNE",-0.932,"VDEM",-0.264,"VDEM"
"409","Guatemala",2007,1,"Alvaro Colom","UNE",-0.932,"VDEM",-0.264,"VDEM"
"410","Guatemala",2007,1,"Rigoberta Menchu","EG",-0.92,"VDEM",-1.951,"VDEM"
"411","Guatemala",2007,1,"Eduardo Suger","CASA",1.078,"VDEM",-2.62,"VDEM"
"412","Guatemala",2007,1,"Otto Perez Molina","PP",2.479,"VDEM",-1.596,"VDEM"
"413","Guatemala",2007,1,"Alejandro Giammattei","GANA",1.041,"VDEM",-1.609,"VDEM"
"414","Guatemala",2011,1,"Manuel Baldizon","LIDER",0.868,"VDEM",-1.203,"VDEM"
"415","Guatemala",2011,1,"Harold Caballeros","VIVA-EG",0.612,"VDEM",-2.673,"VDEM"
"416","Guatemala",2011,1,"Otto Perez Molina","PP",2.479,"VDEM",-0.523,"VDEM"
"417","Guatemala",2011,1,"Eduardo Suger","CREO",0.858,"VDEM",-1.063,"VDEM"
"418","Guatemala",2011,1,"Sandra Torres","UNE-GANA",-0.22,"VDEM",-0.511,"VDEM"
"419","Guatemala",2011,1,"Juan Gutierrez","PAN",1.64,"Proyectado. Ultimo valor disponible V-DEM",-1.982,"Proyectado. Ultimo valor disponible V-DEM"
"420","Guatemala",2011,1,"Adela de Torre",NA,NA,NA,NA,NA
"421","Guatemala",2011,1,"Alejandro Giammattei","CASA",1.078,"Proyectado. Ultimo valor disponible V-DEM",-2.62,"Proyectado. Ultimo valor disponible V-DEM"
"422","Guatemala",2011,1,"Patricia de Arzu","PU",2.984,"Proyectado. Ultimo valor disponible V-DEM",-2.646,"Proyectado. Ultimo valor disponible V-DEM"
"423","Guatemala",2011,1,"Rigoberta Menchu","WINAQ",NA,NA,NA,NA
"424","Guatemala",2011,2,"Otto Perez Molina","PP",2.479,"VDEM",-0.523,"VDEM"
"425","Guatemala",2011,2,"Manuel Baldizon","LIDER",0.868,"VDEM",-1.203,"VDEM"
"426","Guatemala",2015,1,"Zury Rios","ViVa",2.445,"VDEM",-1.762,"VDEM"
"427","Guatemala",2015,1,"Alejandro Giammattei",NA,NA,NA,NA,NA
"428","Guatemala",2015,1,"Jose Angel Lopez","EG",-0.92,"Proyectado. Ultimo valor disponible V-DEM",-1.951,"Proyectado. Ultimo valor disponible V-DEM"
"429","Guatemala",2015,1,"Miguel Angel Sandoval","WINAQ",NA,NA,NA,NA
"430","Guatemala",2015,1,"Lizardo Sosa","T",1.09,"VDEM",-1.47,"VDEM"
"431","Guatemala",2015,1,"Juan Gutierrez","PAN",1.64,"Proyectado. Ultimo valor disponible V-DEM",-1.982,"Proyectado. Ultimo valor disponible V-DEM"
"432","Guatemala",2015,1,"Luis Fernando Perez",NA,NA,NA,NA,NA
"433","Guatemala",2015,1,"Mario David Garcia","PP",2.479,"VDEM",-1.202,"VDEM"
"434","Guatemala",2015,1,"Sandra Torres","UNE",-0.932,"VDEM",-0.264,"VDEM"
"435","Guatemala",2015,1,"Roberto Gonzalez","CREO",0.858,"VDEM",-1.063,"VDEM"
"436","Guatemala",2015,1,"Jimmy Morales","FCN",2.459,"VDEM",-1.008,"VDEM"
"437","Guatemala",2015,1,"Manuel Baldizon","LIDER",0.868,"VDEM",-1.203,"VDEM"
"438","Guatemala",2015,1,"Anibal Garcia",NA,NA,NA,NA,NA
"439","Guatemala",2015,1,"Mario Estrada","UCN",0.449,"Proyectado. Ultimo valor disponible V-DEM",-0.52,"Proyectado. Ultimo valor disponible V-DEM"
"440","Guatemala",2015,2,"Sandra Torres","UNE",-0.932,"VDEM",-0.264,"VDEM"
"441","Guatemala",2015,2,"Jimmy Morales","FCN",2.459,"VDEM",-1.008,"VDEM"
"442","Guatemala",2019,1,"Roberto Arzu","PAN",1.64,"Proyectado. Ultimo valor disponible V-DEM",-1.982,"Proyectado. Ultimo valor disponible V-DEM"
"443","Guatemala",2019,1,"Edwin Escobar",NA,NA,NA,NA,NA
"444","Guatemala",2019,1,"Hector Estrada","CREO",0.858,"VDEM",-1.063,"VDEM"
"445","Guatemala",2019,1,"Alejandro Giammattei","Vamos",2.477,"VDEM",-1.982,"VDEM"
"446","Guatemala",2019,1,"Edmond Mulet","PHG",1.476,"VDEM",-1.77,"VDEM"
"447","Guatemala",2019,1,"Sandra Torres","UNE",-0.932,"VDEM",-0.264,"VDEM"
"448","Guatemala",2019,1,"Estuardo Galdamez","FCN",2.459,"VDEM",-1.008,"VDEM"
"449","Guatemala",2019,1,"Amilcar Rivera",NA,NA,NA,NA,NA
"450","Guatemala",2019,1,"Isaac Farchi","ViVa",2.445,"Proyectado. Ultimo valor disponible V-DEM",-1.762,"Proyectado. Ultimo valor disponible V-DEM"
"451","Guatemala",2019,1,"Manfredo Marroquin","EG",-0.92,"Proyectado. Ultimo valor disponible V-DEM",-1.951,"Proyectado. Ultimo valor disponible V-DEM"
"452","Guatemala",2019,1,"Benito Morales","FCN",2.459,"VDEM",-1.008,"VDEM"
"453","Guatemala",2019,1,"Manuel Villacorta","WINAQ",NA,NA,NA,NA
"454","Guatemala",2019,1,"Pablo Ignacio Ceto",NA,NA,NA,NA,NA
"455","Guatemala",2019,1,"Pablo Duarte","PU",2.984,"Proyectado. Ultimo valor disponible V-DEM",-2.646,"Proyectado. Ultimo valor disponible V-DEM"
"456","Guatemala",2019,1,"Fredy Cabrera","T",1.09,"VDEM",-1.47,"VDEM"
"457","Guatemala",2019,1,"Anibal Garcia",NA,NA,NA,NA,NA
"458","Guatemala",2019,1,"Danilo Roca",NA,NA,NA,NA,NA
"459","Guatemala",2019,1,"Jose Luis Chea Urruela",NA,NA,NA,NA,NA
"460","Guatemala",2019,1,"Luis Velasquez",NA,NA,NA,NA,NA
"461","Guatemala",2023,1,"Ricardo Sagastume","T",1.09,"Proyectado. Ultimo valor disponible V-DEM",-1.47,"Proyectado. Ultimo valor disponible V-DEM"
"462","Guatemala",2023,1,"Armando Castillo","ViVa",2.445,"Proyectado. Ultimo valor disponible V-DEM",-1.762,"Proyectado. Ultimo valor disponible V-DEM"
"463","Guatemala",2023,1,"Giulio Talamonti",NA,NA,NA,NA,NA
"464","Guatemala",2023,1,"Francisco Arredondo","CREO",0.858,"Proyectado. Ultimo valor disponible V-DEM",-1.063,"Proyectado. Ultimo valor disponible V-DEM"
"465","Guatemala",2023,1,"Sandra Torres","UNE",-0.932,"Proyectado. Ultimo valor disponible V-DEM",-0.264,"Proyectado. Ultimo valor disponible V-DEM"
"466","Guatemala",2023,1,"Zury Rios",NA,NA,NA,NA,NA
"467","Guatemala",2023,1,"Edmond Mulet",NA,NA,NA,NA,NA
"468","Guatemala",2023,1,"Manuel Conde Orellana",NA,NA,NA,NA,NA
"469","Guatemala",2023,1,"Amilcar Pop","WINAQ",NA,NA,NA,NA
"470","Guatemala",2023,1,"Alvaro Trujillo",NA,NA,NA,NA,NA
"471","Guatemala",2023,1,"Giovanni Reyes","BIEN",NA,NA,NA,NA
"472","Guatemala",2023,1,"Rudio Lecsan Merida","PHG",1.476,"Proyectado. Ultimo valor disponible V-DEM",-1.77,"Proyectado. Ultimo valor disponible V-DEM"
"473","Guatemala",2023,1,"Luis Lam",NA,NA,NA,NA,NA
"474","Guatemala",2023,1,"Julio Rivera Claveria",NA,NA,NA,NA,NA
"475","Guatemala",2023,1,"Amilcar Rivera",NA,NA,NA,NA,NA
"476","Guatemala",2023,1,"Manuel Villacorta",NA,NA,NA,NA,NA
"477","Guatemala",2023,1,"Rudy Guzman",NA,NA,NA,NA,NA
"478","Guatemala",2023,1,"Bernardo Arevalo","Semilla",NA,NA,NA,NA
"479","Guatemala",2023,1,"Hugo Pena",NA,NA,NA,NA,NA
"480","Guatemala",2023,2,"Bernardo Arevalo","Semilla",NA,NA,NA,NA
"481","Guatemala",2023,2,"Sandra Torres","UNE",-0.932,"Proyectado. Ultimo valor disponible V-DEM",-0.264,"Proyectado. Ultimo valor disponible V-DEM"
"482","Guatemala",2023,1,"Samuel Morales","FCN",2.459,"Proyectado. Ultimo valor disponible V-DEM",-1.008,"Proyectado. Ultimo valor disponible V-DEM"
"483","Guatemala",2023,1,"Carlos Pineda",NA,NA,NA,NA,NA
"484","Guatemala",2023,1,"Rafael Espada",NA,NA,NA,NA,NA
"485","Honduras",1993,1,"Jose Oswaldo Ramos Soto","PNH",1.629,"VDEM",1.236,"VDEM"
"486","Honduras",1993,1,"Marco Orlando Iriarte",NA,NA,NA,NA,NA
"487","Honduras",1993,1,"Olban Valladares",NA,NA,NA,NA,NA
"488","Honduras",1993,1,"Carlos Roberto Reina","PLH",0.826,"VDEM",1.225,"VDEM"
"489","Honduras",2013,1,"Orle Anibal Solis",NA,NA,NA,NA,NA
"490","Honduras",2013,1,"Romeo Vasquez Velasquez",NA,NA,NA,NA,NA
"491","Honduras",2013,1,"Mauricio Villeda Bermudez","PLH",1.637,"VDEM",1.236,"VDEM"
"492","Honduras",2013,1,"Salvador Nasralla","PAC",-0.064,"VDEM",-0.347,"VDEM"
"493","Honduras",2013,1,"Iris Xiomara Castro de Zelaya","LIBRE",-1.456,"VDEM",0.801,"VDEM"
"494","Honduras",2013,1,"Jorge Rafael Aguilar",NA,NA,NA,NA,NA
"495","Honduras",2013,1,"Andres Pavon Murillo","PUD",-1.12,"Proyectado. Ultimo valor disponible V-DEM",-0.5,"Proyectado. Ultimo valor disponible V-DEM"
"496","Honduras",2013,1,"Juan Orlando Hernandez","PNH",2.129,"VDEM",1.522,"VDEM"
"497","Honduras",2017,1,"Jose Alfonso Diaz Narvaez",NA,NA,NA,NA,NA
"498","Honduras",2017,1,"Salvador Nasralla","LIBRE",-1.461,"VDEM",0.983,"VDEM"
"499","Honduras",2017,1,"Eliseo Vallecillo Reyes",NA,NA,NA,NA,NA
"500","Honduras",2017,1,"Lucas Evangelisto Aguilera",NA,NA,NA,NA,NA
"501","Honduras",2017,1,"Luis Orlando Zelaya","PLH",1.637,"VDEM",1.236,"VDEM"
"502","Honduras",2017,1,"Romeo Vasquez Velasquez",NA,NA,NA,NA,NA
"503","Honduras",2017,1,"Isaias Fonseca Aguilar",NA,NA,NA,NA,NA
"504","Colombia",1986,1,"Alvaro Gomez Hurtado","PCC",2.339,"VDEM",1.151,"VDEM"
"505","Colombia",1986,1,"Luis Carlos Galan","PLC",-0.611,"VDEM",1.577,"VDEM"
"506","Colombia",1994,1,"Andres Pastrana","PCC",2.344,"VDEM",0.884,"VDEM"
"507","Colombia",1994,1,"Ernesto Samper","PLC",-0.752,"VDEM",1.632,"VDEM"
"508","Colombia",1998,2,"Andres Pastrana","PCC",2.344,"VDEM",0.905,"VDEM"
"509","Colombia",1998,2,"Horacio Serpa","PLC",-0.342,"VDEM",1.632,"VDEM"
"510","Colombia",2002,1,"Alvaro Uribe Velez","Primero Colombia",NA,NA,NA,NA
"511","Colombia",2002,1,"Noemi Sanin",NA,NA,NA,NA,NA
"512","Colombia",2002,1,"Luis Eduardo Garzon",NA,NA,NA,NA,NA
"513","Colombia",2002,1,"Horacio Serpa","PLC",-0.387,"VDEM",0.953,"VDEM"
"514","Colombia",2002,1,"Harold Bedoy",NA,NA,NA,NA,NA
"515","Colombia",2006,1,"Antanas Mockus",NA,NA,NA,NA,NA
"516","Colombia",2006,1,"Horacio Serpa","PLC",-0.63,"VDEM",0.814,"VDEM"
"517","Colombia",2006,1,"Enrique Parejo",NA,NA,NA,NA,NA
"518","Colombia",2006,1,"Carlos Gaviria","PDA",-2.597,"VDEM",-0.273,"VDEM"
"519","Colombia",2006,1,"Alvaro Leyva",NA,NA,NA,NA,NA
"520","Colombia",2010,1,"Antanas Mockus","Verde",NA,NA,NA,NA
"521","Colombia",2010,1,"Noemi Sanin","PCC",2.358,"VDEM",0.251,"VDEM"
"522","Colombia",2010,1,"Gustavo Petro","PDA",-2.329,"VDEM",-0.273,"VDEM"
"523","Colombia",2010,1,"German Vargas Lleras",NA,NA,NA,NA,NA
"524","Colombia",2010,1,"Rafael Pardo","PLC",-0.455,"VDEM",0.563,"VDEM"
"525","Colombia",2010,1,"Juan Manuel Santos","Partido-U",0.144,"VDEM",0.632,"VDEM"
"526","Colombia",2010,1,"Sergio Fajardo",NA,NA,NA,NA,NA
"527","Colombia",2010,2,"Antanas Mockus","Verde",NA,NA,NA,NA
"528","Colombia",2010,2,"Juan Manuel Santos","Partido-U",0.144,"VDEM",0.632,"VDEM"
"529","Colombia",2014,1,"Clara Lopez","PDA",-2.329,"Proyectado. Ultimo valor disponible V-DEM",-0.273,"Proyectado. Ultimo valor disponible V-DEM"
"530","Colombia",2014,1,"Marta Lucia Ramirez","PCC",2.358,"VDEM",0.251,"VDEM"
"531","Colombia",2014,1,"Oscar Ivan Zuluaga","CD",2.679,"VDEM",0.373,"VDEM"
"532","Colombia",2014,1,"Enrique Penalosa","AV",NA,NA,NA,NA
"533","Colombia",2014,1,"Juan Manuel Santos","Partido-U",0.803,"VDEM",0.552,"VDEM"
"534","Colombia",2014,2,"Juan Manuel Santos","Partido-U",0.803,"VDEM",0.552,"VDEM"
"535","Colombia",2014,2,"Oscar Ivan Zuluaga","CD",2.679,"VDEM",0.373,"VDEM"
"536","Colombia",2018,1,"Sergio Fajardo",NA,NA,NA,NA,NA
"537","Colombia",2018,1,"Humberto de la Calle","PLC",-0.279,"VDEM",0.563,"VDEM"
"538","Colombia",2018,1,"Ivan Duque","CD",2.679,"VDEM",0.557,"VDEM"
"539","Colombia",2018,1,"Gustavo Petro",NA,NA,NA,NA,NA
"540","Colombia",2018,1,"German Vargas Lleras",NA,NA,NA,NA,NA
"541","Colombia",2018,1,"Viviane Morales",NA,NA,NA,NA,NA
"542","Colombia",2022,1,"Gustavo Petro",NA,NA,NA,NA,NA
"543","Colombia",2022,1,"Ingrid Betancourt",NA,NA,NA,NA,NA
"544","Colombia",2022,1,"Federico Gutierrez",NA,NA,NA,NA,NA
"545","Colombia",2022,1,"Sergio Fajardo",NA,NA,NA,NA,NA
"546","Colombia",2022,1,"Enrique Gomez",NA,NA,NA,NA,NA
"547","Colombia",2022,1,"John Milton Rodriguez",NA,NA,NA,NA,NA
"548","Colombia",2022,1,"Luis Perez",NA,NA,NA,NA,NA
"549","Colombia",2022,1,"Rodolfo Hernandez",NA,NA,NA,NA,NA
"550","Costa Rica",1986,1,"Oscar Arias Sanchez",NA,NA,NA,NA,NA
"551","Costa Rica",1986,1,"Rafael Calderon Fournier",NA,NA,NA,NA,NA
"552","Costa Rica",1998,1,"Jose Miguel Corrales Bolanos",NA,NA,NA,NA,NA
"553","Costa Rica",1998,1,"Miguel Angel Rodriguez Echeverria","PUSC",1.516,"VDEM",-1.244,"VDEM"
"554","Costa Rica",2002,1,"Otto Guevara","PML",2.425,"VDEM",-2.503,"VDEM"
"555","Costa Rica",2002,1,"Abel Pacheco de la Espriella","PUSC",1.516,"VDEM",-1.244,"VDEM"
"556","Costa Rica",2002,1,"Otton Solis","PAC",-1.125,"VDEM",-2.486,"VDEM"
"557","Costa Rica",2002,1,"Rolando Araya","PLN",0.603,"VDEM",-0.796,"VDEM"
"558","Costa Rica",2002,1,"Pablo Galo Angulo Casasola",NA,NA,NA,NA,NA
"559","Costa Rica",2002,1,"Jose Hine Garcia",NA,NA,NA,NA,NA
"560","Costa Rica",2002,1,"Justo Orozco Alvarez",NA,NA,NA,NA,NA
"561","Costa Rica",2002,1,"Jorge Walter Coto Molina",NA,NA,NA,NA,NA
"562","Costa Rica",2002,1,"Marvin Calvo Montoya",NA,NA,NA,NA,NA
"563","Costa Rica",2002,1,"Walter Munoz","PIN",NA,NA,NA,NA
"564","Costa Rica",2002,1,"Daniel Reynolds Vargas",NA,NA,NA,NA,NA
"565","Costa Rica",2002,1,"Vladimir de la Cruz de Lemos","FD",NA,NA,NA,NA
"566","Costa Rica",2002,1,"Rolando Angulo Zeledon",NA,NA,NA,NA,NA
"567","Costa Rica",2002,2,"Abel Pacheco de la Espriella","PUSC",1.516,"VDEM",-1.244,"VDEM"
"568","Costa Rica",2002,2,"Rolando Araya","PLN",0.603,"VDEM",-0.796,"VDEM"
"569","Costa Rica",2006,1,"Humberto Arce",NA,NA,NA,NA,NA
